name|code|address|phone_number|region|lat|lng
Pochtomat|2|Toshkent shahri, Yunusobod tumani, Shahrisabz ko'chasi, 7 uy||Toshkent shahri|41.316607|69.283984
Pochtomat|6|Toshkent shahri, Olmazor tumani, Sebzar (C17 / 18), 2/1 uy||Toshkent shahri|41.3311749|69.2490926
Pochtomat|3|Toshkent shahri, Yakkasaroy tumani, Bobura ko'chasi, 40||Toshkent shahri|41.2859745|69.2530879
Pochtomat|14|Toshkent shahri, Chilonzor tumani, 3 chorak, uy 53 uyi||Toshkent shahri|41.2836016|69.2226101
Pochtomat|4|Toshkent shahri, Chilonzor tumani, Al-Xorazmy-1, 16 uy||Toshkent shahri|41.257939|69.158473
Pochtomat|27|Andijon shahri, Abduraf Fitratra ko'chasi, 214 uyi||Andijon viloyati|40.7818429|72.3479759
Pochtomat|12|Buxoro shahri, Ibrovati Mo'minov ko'chasi, 8||Buxoro viloyati|39.766156|64.42586
Pochtomat|24|Guliston shahri, A. Navoiy ko'chasi, 45 uyi||Sirdaryo viloyati|40.4961469|68.7777899
Pochtomat|25|Jizzax shahri, Street Sh. Rashidova, 46 uyi||Jizzax viloyati|40.1334899|67.8236906
Pochtomat|30|Nukus shahri, Ota Yul Street, 2 uyi||Qoraqalpog'iston Respublikasi|42.481684|59.614858
Pochtomat|28|Qarshi shahri, Mustaqillik ko'chasi, 19||Qashqadaryo viloyati|38.8393231|65.7977839
Pochtomat|11|Navoiy shahri, I. Karimov ko'chasi, 3a||Navoinsk viloyati|40.102565|65.37344
Pochtomat|10|Namangan shahri, A. Temura ko'chasi, 54-uy||Namangan viloyati|40.9998484|71.6453161
Pochtomat|23|Samarqand, pochta idorasi, 5-uy||Samarqand viloyati|39.655278|66.958889
Pochtomat|31|Termiz shahri, Barkamol avlod, 13 uy||Surxondaryo viloyati|37.225692|67.273204
Pochtomat|81|Siti Olmaliq ko'chasi Ieshir uyi 8||Toshkent viloyati|40.862469|69.59307
Pochtomat|13|Shahar Nurafshon ko'chasi Bobnn uyi 1||Toshkent viloyati|41.040195|69.35722
Pochtomat|34|CHIRCHIQ, NUR MFI, Yusupova ko'chasi, 5||Toshkent viloyati|41.469602|69.584886
Pochtomat|29|Urganch shahri, Stok P. Mulmuda, 23 uy||Xorazm viloyati|41.556336|60.635806
Pochtomat|26|Farg'ona shahri, Kashtanzor ko'chasi, 35 uyi||Farg'ona viloyati|40.383568|71.779685
Pochtomat|33|Shahar Kakand, Street Irda-Tayki, 38 uyi||Farg'ona viloyati|40.539585|70.934647
Pochtomat|35|Marg'ilon shahri, Mustaqillik ko'chasi, 221A uyi||Farg'ona viloyati|40.483409|71.721463
Pochtomat|16|Toshkent shahri, Mirzo-Ulug'bek tumani, Timur Malika ko'chasi, 3a uyi||Toshkent shahri|41.353327|69.351117
Pochtomat|15|Toshkent shahri, Chilonzor tumani, ko'chasi, 55||Toshkent shahri|41.282834|69.221961
Pochtomat|17|Toshkent shahri, Yunusobod tumani, 10 chorak, uyda 1a||Toshkent shahri|41.378378|69.283459
Pochtomat|18|Toshkent shahri, Yashnobod tumani, Tuzel Microdika, 1-chorak, 11 uy||Toshkent shahri|41.296333|69.353448
Pochtomat|21|Toshkent shahri, Yunusobod tumani, Avenue A. Temurat, 108 uyi||Toshkent shahri|41.340865|69.286806
Pochtomat|22|Toshkent shahri, Mirzo-Ulug'bek tumani, Buz-1 massiv, Ziillar ko'chasi, 9a||Toshkent shahri|41.338646|69.334777
Pochtomat|20|Toshkent shahri, Yakkasaroy tumani, Rakata massivi, Shaxjidhaxon ko'chasi, 5||Toshkent shahri|41.284223|69.245174
Pochtomat|19|Toshkent shahri, Chilonzor tumani, Bunyodkor shohona, 7 uyi||Toshkent shahri|41.257546|69.193371
Andijon TPAB|170100|Andijon shahri, A. Fitrat ko'chasi, 214 uyi|74-223-24-71|Andijon viloyati|40.7597|72.35857
Buxoro TPAB|200100|Buxoro shahri, I.Muminov ko'chasi, 8|652237330|Buxoro viloyati|39.766113|64.425784
Jizzax TPAB|130100|Fizzax shahri, Sh. Rashidov ko'chasi, 46 uyi|(72)-226-49-19|Jizzax viloyati|40.135846|67.822561
Qoraqalpoqiston TPAB|230100|Nukus shahri, Otajul ko'chasi, 2 uyi|61-222-23-11|Qoraqalpog'iston Respublikasi|42.460174|59.621066
Qashqadaryo TPAB|180100|Qarshi shahri, Mustaqillik Shox ko'chasi, 19|75-221-01-45|Qashqadaryo viloyati|38.839139|65.797667
Navoiy TPAB|210100|Navoiy shahri, I. Karimova ko'chasi, 3a uyi|(0436)223-44-80|Navoi viloyati|40.102924|65.373033
Samarqand TPAB|140100|Samarqand shahri, Pochta ko'chasi, 5 uyi|(66)233-18-63|Samarqand viloyati|39.654655|66.959569
Termiz GUPS|190100|Termiz shahri, Shodlik MFY|(+998) 76-223-01-03|Surxondaryo viloyati|37.225807368868|67.273194847377
Toshkent TPAB|111500|Nurafshon shahri, Bobura ko'chasi, 1|(70) 76-26-344|Toshkent viloyati|41.040068|69.357043
Farg'ona TPAB|150100|Farg'ona shahri, Kashtanzor ko'chasi, 35 uy|(73)-244-47-94|Farg'ona viloyati|40.383568|71.779685
Xorazm TPAB|220100|Urganch shahri, P.Maxmud ko'chasi , 23 uy|22-8-46-50|Xorazm viloyati|41.556622|60.62454
Toshkent shahri TPAB|100000|Yunusobod tumani, Shahrisabz ko’chasi, 7-uy|(71) 233-72-39|Toshkent shahri|41.31665|69.283869
Toshkent 202-son A/B|100202|Ibrat MFY, Murabbiylar, 278 uy||Toshkent shahri|41.30329|69.400257
Toshkent 2-son A/B|100002|Olmazor tumani Sag'bon ko'chasi 9-uy|(71)-244-03-46|Toshkent shahri|41.330325|69.233837
Toshkent 7-son A/B|100007|Mirzo Ulug'bek tumani Mirzo Ulug'bek ko'chasi 32-uy|(71)-269-49-26|Toshkent shahri|41.314395|69.323628
Toshkent 8-son A/B|100008|Yunusobod tumani Mustaqillik ko'chasi 5-uy|(71)-239-86-85|Toshkent shahri|41.314323|69.26565
Toshkent 9-son A/B|100009|Yunusobod tumani Xasanboy baxt ko'chasi 5а|(71)-220-58-77|Toshkent shahri|41.390629|69.254081
Toshkent 11-son A/B|100011|Shaharayxontoxur tumani Navoiy ko'chasi 26-uy|(71)-244-51-29|Toshkent shahri|41.321633|69.253565
Toshkent 15-son A/B|100015|Mirobod tumani Chexova ko'chasi 10-uy|(71)-255-29-16|Toshkent shahri|41.298412|69.278399
Toshkent 16-son A/B|100016|Mirobod tumani Elbek ko'chasi 26-uy|(71)-296-39-01|Toshkent shahri|41.295637|69.331536
Toshkent 17-son A/B|100017|Yunusobod tumani S-4 17-uy|(71)-236-00-05|Toshkent shahri|41.32009|69.274825
Toshkent 19-son A/B|100019|Olmazor tumani G'ofur G'ulom ko'chasi 2-uy|(71)-227-38-32|Toshkent shahri|41.330714|69.248619
Toshkent 47-son A/B|100047|Yashnobod tumani To'ytepa 1-uy|(71)-233-14-72|Toshkent shahri|41.305246|69.289344
Toshkent 50-son A/B|100050|Mirzo Ulug'bek tumani Massiv Qorasuv 6-uy 11-xonadon|(71)-265-94-57|Toshkent shahri|41.321673|69.353966
Toshkent 52-son A/B|100052|Mirzo Ulug'bek tumani Oqqo'rg'on ko'chasi 31а-uy|(71)-237-65-14|Toshkent shahri|41.331974|69.303662
Toshkent 53-son A/B|100053|Yunusobod tumani Mingo'rik ko'chasi 3-uy|(71)-235-29-95|Toshkent shahri|41.342973|69.300473
Toshkent 57-son A/B|100057|Olmazor tumani Usta shirin 110-uy|(71)-248-25-64|Toshkent shahri|41.350881|69.260914
Toshkent 58-son A/B|100058|Yunusobod tumani Zarbuloq ko'chasi 35-uy|(71)-289-17-62|Toshkent shahri|41.355001|69.324287
Toshkent 60-son A/B|100060|Mirobod tumani Nukus ko'chasi 2-uy|(71)-233-58-47|Toshkent shahri|41.299862|69.29
Toshkent 69-son A/B|100069|Olmazor tumani Qorasaroy ko'chasi 270-uy|(71)-248-43-34|Toshkent shahri|41.351534|69.240983
Toshkent 76-son A/B|100076|Yashnabod tumani Sanjar ko'chasi 55-uy|(71)-291-61-35|Toshkent shahri|41.291481|69.31407
Toshkent 77-son A/B|100077|Mirzo Ulug'bek tumani, Muhammad Yusuf ko'chasi, 4-uy|(71)-208-49-66|Toshkent shahri|41.321743|69.327296
Toshkent 78-son A/B|100078|Yunusobod tumani Mustaqillik ko'chasi 6-uy|(71)-238-27-12|Toshkent shahri|41.313351|69.265083
Toshkent 84-son A/B|100084|Yunusobod tumani A.Temur ko'chasi 98-uy|(71)-237-66-15|Toshkent shahri|41.337549|69.285612
